obs_date,vintage_date,value
2001-05-01,2024-02-13,680
2001-05-01,2024-03-12,680
2001-05-01,2024-04-16,680
2001-05-01,2024-05-14,680
2001-05-01,2024-06-11,680
2001-05-01,2024-07-18,680
2001-05-01,2024-08-13,680
2001-05-01,2024-09-10,680
2001-05-01,2024-10-15,680
2001-05-01,2024-11-12,680
2001-05-01,2024-12-17,680
2001-05-01,2025-01-21,680
2001-05-01,2025-02-18,680
2001-05-01,2025-03-20,680
2001-05-01,2025-04-15,680
2001-05-01,2025-05-13,680
2001-05-01,2025-06-10,680
2001-05-01,2025-07-17,680
2001-05-01,2025-08-12,680
2001-05-01,2025-09-16,680
2001-06-01,2024-02-13,674
2001-06-01,2024-03-12,674
2001-06-01,2024-04-16,674
2001-06-01,2024-05-14,674
2001-06-01,2024-06-11,674
2001-06-01,2024-07-18,674
2001-06-01,2024-08-13,674
2001-06-01,2024-09-10,674
2001-06-01,2024-10-15,674
2001-06-01,2024-11-12,674
2001-06-01,2024-12-17,674
2001-06-01,2025-01-21,674
2001-06-01,2025-02-18,674
2001-06-01,2025-03-20,674
2001-06-01,2025-04-15,674
2001-06-01,2025-05-13,674
2001-06-01,2025-06-10,674
2001-06-01,2025-07-17,674
2001-06-01,2025-08-12,674
2001-06-01,2025-09-16,674
2001-07-01,2024-02-13,663
2001-07-01,2024-03-12,663
2001-07-01,2024-04-16,663
2001-07-01,2024-05-14,663
2001-07-01,2024-06-11,663
2001-07-01,2024-07-18,663
2001-07-01,2024-08-13,663
2001-07-01,2024-09-10,663
2001-07-01,2024-10-15,663
2001-07-01,2024-11-12,663
2001-07-01,2024-12-17,663
2001-07-01,2025-01-21,663
2001-07-01,2025-02-18,663
2001-07-01,2025-03-20,663
2001-07-01,2025-04-15,663
2001-07-01,2025-05-13,663
2001-07-01,2025-06-10,663
2001-07-01,2025-07-17,663
2001-07-01,2025-08-12,663
2001-07-01,2025-09-16,663
2001-08-01,2024-02-13,663
2001-08-01,2024-03-12,663
2001-08-01,2024-04-16,663
2001-08-01,2024-05-14,663
2001-08-01,2024-06-11,663
2001-08-01,2024-07-18,663
2001-08-01,2024-08-13,663
2001-08-01,2024-09-10,663
2001-08-01,2024-10-15,663
2001-08-01,2024-11-12,663
2001-08-01,2024-12-17,663
2001-08-01,2025-01-21,663
2001-08-01,2025-02-18,663
2001-08-01,2025-03-20,663
2001-08-01,2025-04-15,663
2001-08-01,2025-05-13,663
2001-08-01,2025-06-10,663
2001-08-01,2025-07-17,663
2001-08-01,2025-08-12,663
2001-08-01,2025-09-16,663
2001-09-01,2024-02-13,639
2001-09-01,2024-03-12,639
2001-09-01,2024-04-16,639
2001-09-01,2024-05-14,639
2001-09-01,2024-06-11,639
2001-09-01,2024-07-18,639
2001-09-01,2024-08-13,639
2001-09-01,2024-09-10,639
2001-09-01,2024-10-15,639
2001-09-01,2024-11-12,639
